,Items,(Ordered) Frequent Items
7654,"['Yougurt', 'Ghee', 'Bread', 'Lassi']","['Ghee', 'Yougurt', 'Bread', 'Lassi']"
7655,"['Yougurt', 'Milk', 'Bread', 'Ghee', 'Butter', 'Sweet', 'Panner', 'Sugar']","['Milk', 'Ghee', 'Yougurt', 'Bread', 'Sweet', 'Sugar', 'Butter', 'Panner']"
7656,"['Sugar', 'Ghee', 'Sweet', 'Milk', 'Butter', 'Coffee Powder', 'Bread']","['Milk', 'Ghee', 'Coffee Powder', 'Bread', 'Sweet', 'Sugar', 'Butter']"
7657,"['Sugar', 'Coffee Powder', 'Sweet', 'Ghee']","['Ghee', 'Coffee Powder', 'Sweet', 'Sugar']"
7658,"['Cheese', 'Coffee Powder', 'Sweet', 'Tea Powder', 'Lassi', 'Bread', 'Panner']","['Coffee Powder', 'Bread', 'Sweet', 'Cheese', 'Panner', 'Lassi', 'Tea Powder']"
7659,"['Lassi', 'Yougurt', 'Coffee Powder', 'Ghee', 'Milk']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Lassi']"
7660,"['Milk', 'Lassi']","['Milk', 'Lassi']"
7661,"['Sweet', 'Butter']","['Sweet', 'Butter']"
7662,"['Butter', 'Milk', 'Panner', 'Bread', 'Ghee', 'Tea Powder', 'Lassi']","['Milk', 'Ghee', 'Bread', 'Butter', 'Panner', 'Lassi', 'Tea Powder']"
7663,"['Ghee', 'Milk', 'Sugar', 'Tea Powder', 'Lassi', 'Butter', 'Cheese']","['Milk', 'Ghee', 'Sugar', 'Butter', 'Cheese', 'Lassi', 'Tea Powder']"
7664,"['Bread', 'Butter', 'Ghee', 'Milk', 'Coffee Powder', 'Lassi', 'Tea Powder']","['Milk', 'Ghee', 'Coffee Powder', 'Bread', 'Butter', 'Lassi', 'Tea Powder']"
7665,"['Panner', 'Sweet', 'Coffee Powder']","['Coffee Powder', 'Sweet', 'Panner']"
7666,"['Yougurt', 'Milk']","['Milk', 'Yougurt']"
7667,"['Coffee Powder', 'Yougurt', 'Sugar', 'Cheese', 'Sweet']","['Coffee Powder', 'Yougurt', 'Sweet', 'Sugar', 'Cheese']"
7668,"['Milk', 'Sweet', 'Tea Powder', 'Butter', 'Yougurt', 'Sugar', 'Coffee Powder']","['Milk', 'Coffee Powder', 'Yougurt', 'Sweet', 'Sugar', 'Butter', 'Tea Powder']"
7669,"['Milk', 'Ghee', 'Panner', 'Butter', 'Bread', 'Tea Powder', 'Sugar', 'Yougurt', 'Coffee Powder', 'Lassi']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Sugar', 'Butter', 'Panner', 'Lassi', 'Tea Powder']"
7670,"['Sweet', 'Coffee Powder', 'Bread', 'Yougurt']","['Coffee Powder', 'Yougurt', 'Bread', 'Sweet']"
7671,"['Butter', 'Sweet', 'Tea Powder', 'Cheese', 'Panner', 'Milk', 'Bread']","['Milk', 'Bread', 'Sweet', 'Butter', 'Cheese', 'Panner', 'Tea Powder']"
7672,"['Yougurt', 'Sweet', 'Ghee', 'Coffee Powder', 'Panner']","['Ghee', 'Coffee Powder', 'Yougurt', 'Sweet', 'Panner']"
7673,"['Bread', 'Lassi', 'Milk', 'Ghee', 'Cheese', 'Sugar']","['Milk', 'Ghee', 'Bread', 'Sugar', 'Cheese', 'Lassi']"
7674,"['Ghee', 'Bread', 'Cheese', 'Sweet', 'Sugar', 'Panner']","['Ghee', 'Bread', 'Sweet', 'Sugar', 'Cheese', 'Panner']"
7675,"['Cheese', 'Bread', 'Tea Powder', 'Ghee', 'Milk', 'Yougurt', 'Coffee Powder']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Cheese', 'Tea Powder']"
7676,"['Cheese', 'Yougurt', 'Lassi', 'Coffee Powder', 'Ghee', 'Milk', 'Panner']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Cheese', 'Panner', 'Lassi']"
7677,"['Cheese', 'Butter', 'Milk', 'Sugar', 'Bread', 'Sweet', 'Coffee Powder']","['Milk', 'Coffee Powder', 'Bread', 'Sweet', 'Sugar', 'Butter', 'Cheese']"
7678,"['Sugar', 'Cheese', 'Bread', 'Tea Powder', 'Sweet', 'Yougurt']","['Yougurt', 'Bread', 'Sweet', 'Sugar', 'Cheese', 'Tea Powder']"
7679,"['Bread', 'Sugar', 'Milk', 'Butter']","['Milk', 'Bread', 'Sugar', 'Butter']"
7680,"['Ghee', 'Cheese', 'Bread', 'Lassi', 'Sweet']","['Ghee', 'Bread', 'Sweet', 'Cheese', 'Lassi']"
7681,"['Cheese', 'Tea Powder', 'Yougurt', 'Milk']","['Milk', 'Yougurt', 'Cheese', 'Tea Powder']"
7682,"['Ghee', 'Tea Powder', 'Panner', 'Cheese', 'Lassi', 'Sweet', 'Milk', 'Coffee Powder']","['Milk', 'Ghee', 'Coffee Powder', 'Sweet', 'Cheese', 'Panner', 'Lassi', 'Tea Powder']"
7683,"['Coffee Powder', 'Bread', 'Butter', 'Cheese', 'Tea Powder']","['Coffee Powder', 'Bread', 'Butter', 'Cheese', 'Tea Powder']"
7684,"['Tea Powder', 'Lassi', 'Panner', 'Sweet', 'Cheese', 'Butter', 'Coffee Powder']","['Coffee Powder', 'Sweet', 'Butter', 'Cheese', 'Panner', 'Lassi', 'Tea Powder']"
7685,"['Cheese', 'Tea Powder', 'Panner', 'Sweet', 'Butter']","['Sweet', 'Butter', 'Cheese', 'Panner', 'Tea Powder']"
7686,"['Coffee Powder', 'Ghee']","['Ghee', 'Coffee Powder']"
7687,"['Lassi', 'Coffee Powder', 'Panner', 'Bread', 'Ghee']","['Ghee', 'Coffee Powder', 'Bread', 'Panner', 'Lassi']"
7688,"['Sugar', 'Milk', 'Sweet', 'Panner', 'Yougurt']","['Milk', 'Yougurt', 'Sweet', 'Sugar', 'Panner']"
7689,"['Bread', 'Yougurt', 'Lassi']","['Yougurt', 'Bread', 'Lassi']"
7690,"['Bread', 'Sugar', 'Coffee Powder', 'Ghee', 'Milk', 'Yougurt']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Sugar']"
7691,"['Ghee', 'Panner', 'Coffee Powder', 'Sweet', 'Lassi', 'Milk']","['Milk', 'Ghee', 'Coffee Powder', 'Sweet', 'Panner', 'Lassi']"
7692,"['Lassi', 'Coffee Powder', 'Panner', 'Cheese', 'Milk', 'Ghee', 'Yougurt']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Cheese', 'Panner', 'Lassi']"
7693,"['Sweet', 'Ghee', 'Milk', 'Bread']","['Milk', 'Ghee', 'Bread', 'Sweet']"
7694,"['Milk', 'Tea Powder']","['Milk', 'Tea Powder']"
7695,"['Yougurt', 'Lassi']","['Yougurt', 'Lassi']"
7696,"['Coffee Powder', 'Panner', 'Sweet', 'Yougurt', 'Sugar']","['Coffee Powder', 'Yougurt', 'Sweet', 'Sugar', 'Panner']"
7697,"['Yougurt', 'Panner', 'Lassi', 'Butter', 'Tea Powder', 'Ghee', 'Milk', 'Bread']","['Milk', 'Ghee', 'Yougurt', 'Bread', 'Butter', 'Panner', 'Lassi', 'Tea Powder']"
7698,"['Panner', 'Sugar', 'Coffee Powder']","['Coffee Powder', 'Sugar', 'Panner']"
7699,"['Lassi', 'Yougurt', 'Butter']","['Yougurt', 'Butter', 'Lassi']"
7700,"['Panner', 'Ghee', 'Lassi', 'Bread', 'Sugar']","['Ghee', 'Bread', 'Sugar', 'Panner', 'Lassi']"
7701,"['Panner', 'Sugar', 'Ghee', 'Cheese']","['Ghee', 'Sugar', 'Cheese', 'Panner']"
7702,"['Ghee', 'Cheese', 'Coffee Powder', 'Lassi', 'Butter', 'Milk', 'Sugar']","['Milk', 'Ghee', 'Coffee Powder', 'Sugar', 'Butter', 'Cheese', 'Lassi']"
7703,"['Panner', 'Milk']","['Milk', 'Panner']"
7704,"['Sugar', 'Yougurt', 'Coffee Powder', 'Bread', 'Panner', 'Butter']","['Coffee Powder', 'Yougurt', 'Bread', 'Sugar', 'Butter', 'Panner']"
7705,"['Bread', 'Sweet', 'Panner', 'Coffee Powder', 'Lassi', 'Tea Powder', 'Yougurt', 'Sugar']","['Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Sugar', 'Panner', 'Lassi', 'Tea Powder']"
7706,"['Bread', 'Milk', 'Ghee', 'Cheese', 'Yougurt', 'Lassi']","['Milk', 'Ghee', 'Yougurt', 'Bread', 'Cheese', 'Lassi']"
7707,"['Sugar', 'Tea Powder', 'Yougurt', 'Ghee', 'Bread', 'Coffee Powder', 'Cheese']","['Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Sugar', 'Cheese', 'Tea Powder']"
7708,"['Cheese', 'Sweet', 'Bread', 'Sugar', 'Lassi']","['Bread', 'Sweet', 'Sugar', 'Cheese', 'Lassi']"
7709,"['Panner', 'Tea Powder']","['Panner', 'Tea Powder']"
7710,"['Panner', 'Cheese', 'Sweet', 'Butter', 'Bread']","['Bread', 'Sweet', 'Butter', 'Cheese', 'Panner']"
7711,"['Milk', 'Panner', 'Coffee Powder']","['Milk', 'Coffee Powder', 'Panner']"
7712,"['Ghee', 'Bread', 'Milk', 'Cheese', 'Yougurt', 'Sugar']","['Milk', 'Ghee', 'Yougurt', 'Bread', 'Sugar', 'Cheese']"
7713,"['Sweet', 'Yougurt', 'Tea Powder', 'Lassi', 'Panner']","['Yougurt', 'Sweet', 'Panner', 'Lassi', 'Tea Powder']"
7714,"['Tea Powder', 'Milk', 'Butter', 'Bread', 'Sugar', 'Coffee Powder', 'Lassi', 'Yougurt']","['Milk', 'Coffee Powder', 'Yougurt', 'Bread', 'Sugar', 'Butter', 'Lassi', 'Tea Powder']"
7715,"['Sweet', 'Yougurt', 'Milk']","['Milk', 'Yougurt', 'Sweet']"
7716,"['Coffee Powder', 'Milk', 'Sugar', 'Cheese', 'Ghee', 'Lassi', 'Butter']","['Milk', 'Ghee', 'Coffee Powder', 'Sugar', 'Butter', 'Cheese', 'Lassi']"
7717,"['Ghee', 'Cheese', 'Milk', 'Sweet', 'Coffee Powder', 'Panner', 'Lassi', 'Sugar', 'Yougurt']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Sweet', 'Sugar', 'Cheese', 'Panner', 'Lassi']"
7718,"['Sugar', 'Lassi', 'Milk', 'Coffee Powder', 'Panner']","['Milk', 'Coffee Powder', 'Sugar', 'Panner', 'Lassi']"
7719,"['Bread', 'Ghee']","['Ghee', 'Bread']"
7720,"['Bread', 'Cheese', 'Lassi', 'Ghee', 'Sweet', 'Tea Powder', 'Butter']","['Ghee', 'Bread', 'Sweet', 'Butter', 'Cheese', 'Lassi', 'Tea Powder']"
7721,"['Sugar', 'Cheese', 'Bread', 'Butter']","['Bread', 'Sugar', 'Butter', 'Cheese']"
7722,"['Ghee', 'Sugar', 'Milk', 'Butter', 'Panner', 'Coffee Powder', 'Cheese', 'Yougurt', 'Sweet']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Sweet', 'Sugar', 'Butter', 'Cheese', 'Panner']"
7723,"['Lassi', 'Panner', 'Sweet', 'Coffee Powder']","['Coffee Powder', 'Sweet', 'Panner', 'Lassi']"
7724,"['Tea Powder', 'Butter', 'Coffee Powder', 'Cheese']","['Coffee Powder', 'Butter', 'Cheese', 'Tea Powder']"
7725,"['Coffee Powder', 'Sweet', 'Butter']","['Coffee Powder', 'Sweet', 'Butter']"
7726,"['Cheese', 'Panner', 'Butter', 'Bread', 'Sweet']","['Bread', 'Sweet', 'Butter', 'Cheese', 'Panner']"
7727,"['Sweet', 'Milk', 'Lassi', 'Panner', 'Tea Powder']","['Milk', 'Sweet', 'Panner', 'Lassi', 'Tea Powder']"
7728,"['Sugar', 'Cheese', 'Lassi', 'Bread', 'Ghee', 'Yougurt', 'Tea Powder', 'Milk']","['Milk', 'Ghee', 'Yougurt', 'Bread', 'Sugar', 'Cheese', 'Lassi', 'Tea Powder']"
7729,"['Milk', 'Lassi', 'Sweet']","['Milk', 'Sweet', 'Lassi']"
7730,"['Sweet', 'Lassi', 'Yougurt', 'Bread', 'Tea Powder']","['Yougurt', 'Bread', 'Sweet', 'Lassi', 'Tea Powder']"
7731,"['Butter', 'Ghee', 'Lassi', 'Cheese', 'Sweet']","['Ghee', 'Sweet', 'Butter', 'Cheese', 'Lassi']"
7732,"['Ghee', 'Tea Powder', 'Sugar', 'Butter']","['Ghee', 'Sugar', 'Butter', 'Tea Powder']"
7733,"['Cheese', 'Ghee', 'Bread', 'Milk', 'Lassi', 'Yougurt', 'Panner']","['Milk', 'Ghee', 'Yougurt', 'Bread', 'Cheese', 'Panner', 'Lassi']"
7734,"['Bread', 'Tea Powder', 'Lassi', 'Cheese', 'Panner', 'Butter', 'Sweet', 'Ghee']","['Ghee', 'Bread', 'Sweet', 'Butter', 'Cheese', 'Panner', 'Lassi', 'Tea Powder']"
7735,"['Panner', 'Tea Powder', 'Lassi', 'Bread']","['Bread', 'Panner', 'Lassi', 'Tea Powder']"
7736,"['Milk', 'Lassi', 'Sugar', 'Yougurt', 'Panner']","['Milk', 'Yougurt', 'Sugar', 'Panner', 'Lassi']"
7737,"['Yougurt', 'Sweet', 'Sugar', 'Milk', 'Cheese', 'Ghee']","['Milk', 'Ghee', 'Yougurt', 'Sweet', 'Sugar', 'Cheese']"
7738,"['Yougurt', 'Bread', 'Cheese']","['Yougurt', 'Bread', 'Cheese']"
7739,"['Cheese', 'Butter', 'Sweet', 'Tea Powder']","['Sweet', 'Butter', 'Cheese', 'Tea Powder']"
7740,"['Ghee', 'Tea Powder', 'Lassi', 'Butter', 'Coffee Powder', 'Cheese']","['Ghee', 'Coffee Powder', 'Butter', 'Cheese', 'Lassi', 'Tea Powder']"
7741,"['Ghee', 'Tea Powder', 'Cheese', 'Panner', 'Butter']","['Ghee', 'Butter', 'Cheese', 'Panner', 'Tea Powder']"
7742,"['Bread', 'Cheese']","['Bread', 'Cheese']"
7743,"['Cheese', 'Milk', 'Sugar', 'Lassi', 'Bread', 'Coffee Powder', 'Panner']","['Milk', 'Coffee Powder', 'Bread', 'Sugar', 'Cheese', 'Panner', 'Lassi']"
7744,"['Ghee', 'Cheese', 'Sweet', 'Bread', 'Lassi']","['Ghee', 'Bread', 'Sweet', 'Cheese', 'Lassi']"
7745,"['Yougurt', 'Panner', 'Bread']","['Yougurt', 'Bread', 'Panner']"
7746,"['Sweet', 'Lassi', 'Butter']","['Sweet', 'Butter', 'Lassi']"
7747,"['Sweet', 'Panner', 'Bread', 'Lassi', 'Ghee']","['Ghee', 'Bread', 'Sweet', 'Panner', 'Lassi']"
7748,"['Sugar', 'Cheese', 'Lassi']","['Sugar', 'Cheese', 'Lassi']"
7749,"['Bread', 'Ghee', 'Butter']","['Ghee', 'Bread', 'Butter']"
7750,"['Butter', 'Coffee Powder', 'Cheese', 'Sweet', 'Sugar', 'Panner']","['Coffee Powder', 'Sweet', 'Sugar', 'Butter', 'Cheese', 'Panner']"
7751,"['Lassi', 'Bread', 'Milk', 'Yougurt', 'Panner', 'Coffee Powder', 'Sweet', 'Butter', 'Cheese']","['Milk', 'Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Butter', 'Cheese', 'Panner', 'Lassi']"
7752,"['Butter', 'Milk', 'Sugar', 'Ghee', 'Yougurt', 'Coffee Powder']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Sugar', 'Butter']"
7753,"['Sweet', 'Ghee', 'Lassi', 'Milk', 'Panner', 'Bread']","['Milk', 'Ghee', 'Bread', 'Sweet', 'Panner', 'Lassi']"
7754,"['Milk', 'Bread', 'Butter', 'Panner', 'Yougurt', 'Sweet', 'Sugar']","['Milk', 'Yougurt', 'Bread', 'Sweet', 'Sugar', 'Butter', 'Panner']"
7755,"['Coffee Powder', 'Yougurt', 'Milk', 'Cheese', 'Bread', 'Sweet', 'Sugar', 'Ghee']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Sugar', 'Cheese']"
7756,"['Tea Powder', 'Panner']","['Panner', 'Tea Powder']"
7757,"['Yougurt', 'Tea Powder', 'Sweet', 'Bread', 'Milk', 'Ghee', 'Cheese', 'Lassi']","['Milk', 'Ghee', 'Yougurt', 'Bread', 'Sweet', 'Cheese', 'Lassi', 'Tea Powder']"
7758,"['Tea Powder', 'Coffee Powder', 'Sugar', 'Milk', 'Lassi']","['Milk', 'Coffee Powder', 'Sugar', 'Lassi', 'Tea Powder']"
7759,"['Sugar', 'Cheese', 'Milk', 'Bread', 'Ghee']","['Milk', 'Ghee', 'Bread', 'Sugar', 'Cheese']"
7760,"['Coffee Powder', 'Yougurt', 'Cheese', 'Sweet']","['Coffee Powder', 'Yougurt', 'Sweet', 'Cheese']"
7761,"['Sweet', 'Coffee Powder', 'Bread', 'Lassi', 'Tea Powder', 'Butter']","['Coffee Powder', 'Bread', 'Sweet', 'Butter', 'Lassi', 'Tea Powder']"
7762,"['Yougurt', 'Milk', 'Panner', 'Bread']","['Milk', 'Yougurt', 'Bread', 'Panner']"
7763,"['Yougurt', 'Panner', 'Coffee Powder', 'Sweet', 'Ghee', 'Bread']","['Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Panner']"
7764,"['Cheese', 'Butter', 'Coffee Powder', 'Yougurt', 'Bread', 'Sugar', 'Panner', 'Sweet']","['Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Sugar', 'Butter', 'Cheese', 'Panner']"
7765,"['Butter', 'Sugar', 'Panner', 'Lassi', 'Milk', 'Ghee']","['Milk', 'Ghee', 'Sugar', 'Butter', 'Panner', 'Lassi']"
7766,"['Tea Powder', 'Sugar']","['Sugar', 'Tea Powder']"
7767,"['Coffee Powder', 'Panner', 'Sweet']","['Coffee Powder', 'Sweet', 'Panner']"
7768,"['Ghee', 'Lassi', 'Panner', 'Bread', 'Tea Powder', 'Coffee Powder', 'Sweet']","['Ghee', 'Coffee Powder', 'Bread', 'Sweet', 'Panner', 'Lassi', 'Tea Powder']"
7769,"['Sugar', 'Lassi', 'Milk']","['Milk', 'Sugar', 'Lassi']"
7770,"['Butter', 'Coffee Powder']","['Coffee Powder', 'Butter']"
7771,"['Coffee Powder', 'Bread', 'Tea Powder']","['Coffee Powder', 'Bread', 'Tea Powder']"
7772,"['Tea Powder', 'Yougurt', 'Milk', 'Butter', 'Lassi', 'Sweet']","['Milk', 'Yougurt', 'Sweet', 'Butter', 'Lassi', 'Tea Powder']"
7773,"['Butter', 'Sugar', 'Milk']","['Milk', 'Sugar', 'Butter']"
7774,"['Bread', 'Coffee Powder', 'Butter', 'Sugar', 'Lassi', 'Panner']","['Coffee Powder', 'Bread', 'Sugar', 'Butter', 'Panner', 'Lassi']"
7775,"['Tea Powder', 'Sweet']","['Sweet', 'Tea Powder']"
7776,"['Panner', 'Ghee', 'Tea Powder', 'Yougurt', 'Sugar', 'Coffee Powder']","['Ghee', 'Coffee Powder', 'Yougurt', 'Sugar', 'Panner', 'Tea Powder']"
7777,"['Yougurt', 'Cheese', 'Tea Powder', 'Milk']","['Milk', 'Yougurt', 'Cheese', 'Tea Powder']"
7778,"['Sweet', 'Butter', 'Panner', 'Lassi', 'Milk', 'Yougurt', 'Cheese']","['Milk', 'Yougurt', 'Sweet', 'Butter', 'Cheese', 'Panner', 'Lassi']"
7779,"['Bread', 'Sweet', 'Tea Powder', 'Butter', 'Panner', 'Cheese', 'Yougurt']","['Yougurt', 'Bread', 'Sweet', 'Butter', 'Cheese', 'Panner', 'Tea Powder']"
7780,"['Coffee Powder', 'Panner', 'Yougurt']","['Coffee Powder', 'Yougurt', 'Panner']"
7781,"['Coffee Powder', 'Yougurt', 'Lassi', 'Milk', 'Bread', 'Butter']","['Milk', 'Coffee Powder', 'Yougurt', 'Bread', 'Butter', 'Lassi']"
7782,"['Sugar', 'Yougurt', 'Ghee', 'Panner']","['Ghee', 'Yougurt', 'Sugar', 'Panner']"
7783,"['Bread', 'Yougurt']","['Yougurt', 'Bread']"
7784,"['Milk', 'Butter', 'Cheese', 'Sugar', 'Tea Powder']","['Milk', 'Sugar', 'Butter', 'Cheese', 'Tea Powder']"
7785,"['Ghee', 'Butter', 'Lassi', 'Sugar', 'Panner']","['Ghee', 'Sugar', 'Butter', 'Panner', 'Lassi']"
7786,"['Butter', 'Coffee Powder', 'Yougurt', 'Lassi', 'Bread']","['Coffee Powder', 'Yougurt', 'Bread', 'Butter', 'Lassi']"
7787,"['Milk', 'Sugar', 'Bread', 'Cheese', 'Yougurt']","['Milk', 'Yougurt', 'Bread', 'Sugar', 'Cheese']"
7788,"['Sweet', 'Milk', 'Butter', 'Tea Powder', 'Panner']","['Milk', 'Sweet', 'Butter', 'Panner', 'Tea Powder']"
7789,"['Lassi', 'Cheese', 'Bread']","['Bread', 'Cheese', 'Lassi']"
7790,"['Panner', 'Ghee']","['Ghee', 'Panner']"
7791,"['Coffee Powder', 'Bread', 'Sweet', 'Sugar', 'Milk', 'Butter', 'Cheese']","['Milk', 'Coffee Powder', 'Bread', 'Sweet', 'Sugar', 'Butter', 'Cheese']"
7792,"['Coffee Powder', 'Cheese']","['Coffee Powder', 'Cheese']"
7793,"['Sweet', 'Milk', 'Yougurt', 'Sugar', 'Tea Powder']","['Milk', 'Yougurt', 'Sweet', 'Sugar', 'Tea Powder']"
7794,"['Tea Powder', 'Panner', 'Coffee Powder', 'Sweet', 'Ghee']","['Ghee', 'Coffee Powder', 'Sweet', 'Panner', 'Tea Powder']"
7795,"['Bread', 'Panner', 'Sweet', 'Coffee Powder', 'Sugar', 'Tea Powder', 'Lassi', 'Yougurt', 'Ghee']","['Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Sugar', 'Panner', 'Lassi', 'Tea Powder']"
7796,"['Ghee', 'Panner', 'Sugar']","['Ghee', 'Sugar', 'Panner']"
7797,"['Tea Powder', 'Yougurt']","['Yougurt', 'Tea Powder']"
7798,"['Bread', 'Ghee', 'Sugar', 'Butter']","['Ghee', 'Bread', 'Sugar', 'Butter']"
7799,"['Sweet', 'Ghee', 'Panner', 'Lassi']","['Ghee', 'Sweet', 'Panner', 'Lassi']"
7800,"['Panner', 'Sweet', 'Butter', 'Milk', 'Tea Powder', 'Sugar', 'Coffee Powder']","['Milk', 'Coffee Powder', 'Sweet', 'Sugar', 'Butter', 'Panner', 'Tea Powder']"
7801,"['Butter', 'Tea Powder', 'Coffee Powder', 'Cheese', 'Ghee', 'Bread', 'Panner']","['Ghee', 'Coffee Powder', 'Bread', 'Butter', 'Cheese', 'Panner', 'Tea Powder']"
7802,"['Tea Powder', 'Butter', 'Yougurt', 'Panner', 'Bread', 'Ghee', 'Cheese']","['Ghee', 'Yougurt', 'Bread', 'Butter', 'Cheese', 'Panner', 'Tea Powder']"
7803,"['Panner', 'Tea Powder', 'Sugar']","['Sugar', 'Panner', 'Tea Powder']"
7804,"['Ghee', 'Milk', 'Bread', 'Lassi', 'Tea Powder', 'Sweet', 'Coffee Powder', 'Butter']","['Milk', 'Ghee', 'Coffee Powder', 'Bread', 'Sweet', 'Butter', 'Lassi', 'Tea Powder']"
7805,"['Tea Powder', 'Butter']","['Butter', 'Tea Powder']"
7806,"['Lassi', 'Sweet', 'Bread', 'Ghee', 'Panner']","['Ghee', 'Bread', 'Sweet', 'Panner', 'Lassi']"
7807,"['Coffee Powder', 'Sweet', 'Sugar', 'Ghee', 'Lassi', 'Tea Powder']","['Ghee', 'Coffee Powder', 'Sweet', 'Sugar', 'Lassi', 'Tea Powder']"
7808,"['Sugar', 'Tea Powder', 'Ghee', 'Yougurt', 'Milk', 'Lassi', 'Panner']","['Milk', 'Ghee', 'Yougurt', 'Sugar', 'Panner', 'Lassi', 'Tea Powder']"
7809,"['Lassi', 'Panner', 'Yougurt', 'Cheese', 'Butter', 'Coffee Powder', 'Tea Powder', 'Sweet', 'Bread']","['Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Butter', 'Cheese', 'Panner', 'Lassi', 'Tea Powder']"
7810,"['Bread', 'Butter', 'Panner', 'Milk', 'Lassi', 'Ghee', 'Sweet', 'Sugar']","['Milk', 'Ghee', 'Bread', 'Sweet', 'Sugar', 'Butter', 'Panner', 'Lassi']"
7811,"['Panner', 'Sweet', 'Tea Powder', 'Butter']","['Sweet', 'Butter', 'Panner', 'Tea Powder']"
7812,"['Yougurt', 'Milk', 'Lassi', 'Panner']","['Milk', 'Yougurt', 'Panner', 'Lassi']"
7813,"['Coffee Powder', 'Bread', 'Panner']","['Coffee Powder', 'Bread', 'Panner']"
7814,"['Sweet', 'Tea Powder']","['Sweet', 'Tea Powder']"
7815,"['Lassi', 'Milk', 'Coffee Powder', 'Ghee', 'Sugar', 'Sweet', 'Butter']","['Milk', 'Ghee', 'Coffee Powder', 'Sweet', 'Sugar', 'Butter', 'Lassi']"
7816,"['Panner', 'Ghee', 'Bread', 'Coffee Powder', 'Yougurt', 'Sugar']","['Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Sugar', 'Panner']"
7817,"['Panner', 'Sweet', 'Ghee', 'Milk', 'Cheese']","['Milk', 'Ghee', 'Sweet', 'Cheese', 'Panner']"
7818,"['Coffee Powder', 'Cheese', 'Sugar', 'Lassi', 'Panner', 'Ghee', 'Tea Powder']","['Ghee', 'Coffee Powder', 'Sugar', 'Cheese', 'Panner', 'Lassi', 'Tea Powder']"
7819,"['Bread', 'Yougurt', 'Sweet', 'Ghee', 'Tea Powder', 'Lassi', 'Panner']","['Ghee', 'Yougurt', 'Bread', 'Sweet', 'Panner', 'Lassi', 'Tea Powder']"
7820,"['Cheese', 'Panner', 'Lassi', 'Butter', 'Yougurt', 'Ghee', 'Sweet']","['Ghee', 'Yougurt', 'Sweet', 'Butter', 'Cheese', 'Panner', 'Lassi']"
7821,"['Yougurt', 'Ghee', 'Lassi', 'Sugar', 'Bread', 'Butter', 'Milk']","['Milk', 'Ghee', 'Yougurt', 'Bread', 'Sugar', 'Butter', 'Lassi']"
7822,"['Yougurt', 'Bread', 'Tea Powder', 'Sweet', 'Butter', 'Coffee Powder', 'Milk']","['Milk', 'Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Butter', 'Tea Powder']"
7823,"['Lassi', 'Sugar', 'Tea Powder', 'Cheese', 'Panner', 'Ghee', 'Yougurt']","['Ghee', 'Yougurt', 'Sugar', 'Cheese', 'Panner', 'Lassi', 'Tea Powder']"
7824,"['Panner', 'Bread', 'Butter', 'Yougurt', 'Ghee']","['Ghee', 'Yougurt', 'Bread', 'Butter', 'Panner']"
7825,"['Tea Powder', 'Butter', 'Ghee', 'Sweet', 'Panner']","['Ghee', 'Sweet', 'Butter', 'Panner', 'Tea Powder']"
7826,"['Yougurt', 'Butter', 'Panner', 'Coffee Powder', 'Ghee', 'Sugar', 'Cheese', 'Sweet']","['Ghee', 'Coffee Powder', 'Yougurt', 'Sweet', 'Sugar', 'Butter', 'Cheese', 'Panner']"
7827,"['Coffee Powder', 'Cheese', 'Yougurt', 'Tea Powder']","['Coffee Powder', 'Yougurt', 'Cheese', 'Tea Powder']"
7828,"['Yougurt', 'Bread']","['Yougurt', 'Bread']"
7829,"['Coffee Powder', 'Ghee', 'Yougurt', 'Sugar']","['Ghee', 'Coffee Powder', 'Yougurt', 'Sugar']"
7830,"['Cheese', 'Yougurt', 'Lassi', 'Sweet', 'Butter', 'Sugar']","['Yougurt', 'Sweet', 'Sugar', 'Butter', 'Cheese', 'Lassi']"
7831,"['Ghee', 'Milk', 'Sweet', 'Lassi']","['Milk', 'Ghee', 'Sweet', 'Lassi']"
